id,name,301_redirect,permalink,entityType,givenName,familyName,sortName,alternateName,gender,birthDate,birthPlace,deathDate,deathPlace,webpage,relatedWebpage,sameAs,image
8115,Nguyễn Thanh Châu,,,Person,,,"Châu, Nguyễn Thanh","",Unknown,,,,,,,,
8116,Nguyễn Thụ,,,Person,,,"Thụ, Nguyễn","",Unknown,,,,,,,,
8118,Phan Oánh,,,Person,,,"Oánh, Phan","",Unknown,,,,,,,,
8119,Quách Phong,,,Person,,,"Phong, Quách","",Unknown,,,,,,,,
1008032,Johan Steinfort,,,Person,,,"Steinfort, Johan","",Male,1740-01-01,,1795-01-01,,,,"",
1000778,unknown Brazilian,,,Person,,,unknown Brazilian,Brazilian,Unknown,,,,,,,http://vocab.getty.edu/ulan/500203010,
4053,Ron Kent,,,Person,,,"Kent, Ron","",Male,1931-01-01,,,,,,,
1001077,unknown Central Indian,,,Person,,,unknown Central Indian,Central Indian,Unknown,,,,,,,"",
3792,Steve Tobin,,,Person,,,"Tobin, Steve","",Male,1957-01-01,,,,,,,
3509,Brett Weston,,,Person,,,"Weston, Brett","",Male,1911-01-01,,1993-01-01,,,,,
1007679,unknown Scottish,,,Person,,,unknown Scottish,"",Unknown,,,,,,,"",
2636,Don Drumm,,,Person,,,"Drumm, Don","",Male,1935-01-01,,,,,,,
1007530,Saitô Kiyoshi,,,Person,,,Saitô Kiyoshi,"",Unknown,1907-01-01,,1997-01-01,,,,"",
1001446,unknown Greenlandic,,,Person,,,unknown Greenlandic,"Danish, Greenland",Unknown,,,,,,,http://vocab.getty.edu/ulan/500203349,
1007394,unknown Romano-Egyptian,,,Person,,,unknown Romano-Egyptian,Romano-Egyptian,Unknown,,,,,,,http://vocab.getty.edu/ulan/500354925,
3451,Dwight A. Davis,,,Person,,,"Davis, Dwight A.","",Male,1852-01-01,,1944-01-01,,,,,
3946,Liam Flynn,,,Person,,,"Flynn, Liam","",Male,1969-01-01,,,,,,,
3947,Mary Roehm,,,Person,,,"Roehm, Mary","",Female,1951-01-01,,,,,,,
1006768,George E. Ohr,,,Person,,,"Ohr, George E.","",Male,1857-01-01,"Biloxi, MS",1918-01-01,"Biloxi, MS",,,http://vocab.getty.edu/ulan/500071841,
1000029,unknown Bamana,,,Person,,,unknown Bamana,"unknown African, Bambara, Chiwara|unknown Bambara",Unknown,,,,,,,http://vocab.getty.edu/ulan/500202933,
3212,Paul Stankard,,,Person,,,"Stankard, Paul","",Male,1943-01-01,,,,,,,
3449,Bruce Cratsley,,,Person,,,"Cratsley, Bruce","",Male,1944-01-01,,1998-01-01,,,,,
1008121,unknown Sumerian,,,Person,,,unknown Sumerian,"",Unknown,,,,,,,http://vocab.getty.edu/ulan/500204312,
3477,Frederick H. Pratt,,,Person,,,"Pratt, Frederick H.","",Male,1873-01-01,,1958-01-01,,,,,
3422,David Cox,,,Person,,,"Cox, David","",Male,1783-01-01,,1859-01-01,,,,,
3481,Sarah Choate Sears,,,Person,,,"Sears, Sarah Choate","",Female,1858-01-01,,1935-01-01,,,,,
3402,Charles H. White,,,Person,,,"White, Charles H.","",Male,1796-01-01,,1876-01-01,,,,,
1008329,Toyokuni Utagawa,,,Person,,,Toyokuni Utagawa,Utagawa Toyokuni I,Unknown,1769-01-01,,1825-01-01,,,,http://vocab.getty.edu/ulan/500081100,
1003505,Kuniaki II,,,Person,,,Kuniaki II,"",Unknown,1835-01-01,,1888-01-01,,,,,
1008182,Kano Tomonobu,,,Person,,,Kano Tomonobu,"",Unknown,1843-01-01,Japan,1912-01-01,,,,"",
1008165,Taito II Katsushika,,,Person,,,Taito II Katsushika,"",Unknown,1810-01-01,"Japan, Edo",1853-01-01,,,,http://vocab.getty.edu/ulan/500065516,
1008168,Takabe Taeko,,,Person,,,Takabe Taeko,"",Unknown,1941-01-01,,,,,,"",
1008326,Toyohiro Utagawa,,,Person,,,Toyohiro Utagawa,"",Unknown,1773-01-01,,1828-01-01,,,,"",
1008116,Sukenobu Nishikawa,,,Person,,,Sukenobu Nishikawa,"",Unknown,1671-01-01,"Kyoto (Kyoto prefecture, Kinki, Japan)",1751-01-01,"Kyoto (Kyoto prefecture, Kinki, Japan)",,,http://vocab.getty.edu/ulan/500118860,
1008173,Itô Takashi,,,Person,,,Itô Takashi,"",Unknown,1894-01-01,,1982-01-01,,,,"",
1008228,Tessai,,,Person,,,Tessai,"",Unknown,1836-01-01,"Kyoto (Kyoto prefecture, Kinki, Japan)",1924-01-01,"Kyoto (Kyoto prefecture, Kinki, Japan)",,,http://vocab.getty.edu/ulan/500121336,
1007572,Sasaki Takashi (Ko),,,Person,,,Sasaki Takashi (Ko),"",Unknown,1907-01-01,,1974-01-01,,,,"",
1008166,Tajima Hiroyuki,,,Person,,,Tajima Hiroyuki,"",Unknown,1911-01-01,,1984-01-01,,,,"",
1008176,Takei Takeo,,,Person,,,Takei Takeo,"",Unknown,1894-01-01,"Japan, Okaya",1983-01-01,,,,"",
1003001,Inoue Yuichi,,,Person,,,Inoue Yuichi,"",Unknown,1916-01-01,"Tokyo (Tokyo metropolis, Kanto, Japan)",1985-01-01,"Tokyo (Tokyo metropolis, Kanto, Japan)",,,http://vocab.getty.edu/ulan/500122668,
1008175,Takei Gen,,,Person,,,Takei Gen,"",Unknown,,Japan,,,,,"",
752,Tom Farbanish,,,Person,,,"Farbanish, Tom","",Male,1963-01-01,,,,,,,
1003774,Li Li Wang,,,Person,,,Li Li Wang,"",Unknown,,,,,,,"",
1002936,Hu Tu Tong,,,Person,,,Hu Tu Tong,"",Unknown,,,,,,,"",
1008134,Suzuki Kanji,,,Person,,,Suzuki Kanji,"",Unknown,1921-01-01,Aichi prefecture,,,,,"",
1008169,Takagi Shirô,,,Person,,,Takagi Shirô,"",Unknown,1934-01-01,"Hirosaki, Aomori prefecture",,,,,"",
1008170,Takahashi Rikio,,,Person,,,Takahashi Rikio,"",Unknown,1917-01-01,Tokyo,1999-01-01,,,,"",
1008903,Yoshikazu Utagawa,,,Person,,,Yoshikazu Utagawa,"",Unknown,1840-01-01,,1870-01-01,,,,"",
1008108,Sugakudo Nakayama,,,Person,,,Sugakudo Nakayama,"",Unknown,1850-01-01,Japan,1860-01-01,,,,"",
1007918,Sori III Tawaraya,,,Person,,,Sori III Tawaraya,"",Unknown,,Japan,,,,,"",
1004406,"Nakahashi, Kenji",,,Person,,,"Nakahashi, Kenji","",Unknown,1947-01-01,Japan,,,,,"",
1002814,Totoya Hokkei,,,Person,,,Totoya Hokkei,"",Unknown,1780-01-01,,1850-01-01,,,,"",
1002610,Hasegawa Akira,,,Person,,,Hasegawa Akira,"",Unknown,1925-01-01,,,,,,"",
1008907,Yoshitoyo,,,Person,,,Yoshitoyo,"",Unknown,1830-01-01,,1866-01-01,,,,"",
1007818,Shunzan Katsukawa,,,Person,,,Shunzan Katsukawa,"",Unknown,1782-01-01,,1798-01-01,,,,"",
1007810,Shunkô Katsukawa,,,Person,,,Shunkô Katsukawa,Katsukawa Shunkô,Unknown,1743-01-01,"Tokyo (Tokyo metropolis, Kanto, Japan)",1812-01-01,"Tokyo (Tokyo metropolis, Kanto, Japan)",,,http://vocab.getty.edu/ulan/500121075,
1007809,Shunjo Katsukawa,,,Person,,,Shunjo Katsukawa,"",Unknown,,,1787-01-01,,,,"",
1007808,Shun'ei Katsukawa,,,Person,,,Shun'ei Katsukawa,"",Unknown,1762-01-01,"Tokyo (Tokyo metropolis, Kanto, Japan)",1819-01-01,"Tokyo (Tokyo metropolis, Kanto, Japan)",,,http://vocab.getty.edu/ulan/500057323,
1007735,Sharaku Tôshûsai,,,Person,,,Sharaku Tôshûsai,Tôshûsai Sharaku,Unknown,1794-01-01,,1795-01-01,,,,http://vocab.getty.edu/ulan/500118852,
1008327,Toyokuni II Utagawa (Toyoshige),,,Person,,,Toyokuni II Utagawa (Toyoshige),also called Toyoshige (Toyokuni II Utagawa),Unknown,1777-01-01,,1835-01-01,,,,"",
1007802,Shucho Tamagawa,,,Person,,,Shucho Tamagawa,"",Unknown,1790-01-01,,1803-01-01,,,,"",
1007518,Sadanobu Hasegawa,,,Person,,,Sadanobu Hasegawa,"",Unknown,1809-01-01,,1879-01-01,,,,"",
1002775,Hirano Hakuho,,,Person,,,Hirano Hakuho,"",Unknown,1879-01-01,,1957-01-01,,,,"",
1002782,Hiroshige III,,,Person,,,Hiroshige III,"",Unknown,1843-01-01,,1894-01-01,,,,"",
1003432,Kobashi Yasuhide,,,Person,,,Kobashi Yasuhide,"",Unknown,1931-01-01,"Kojima, Okayama prefecture",2003-01-01,,,,"",
1007812,Shunsen Riunsai,,,Person,,,Shunsen Riunsai,"",Unknown,1800-01-01,,1815-01-01,,,,"",
1001409,Cuzco,,,Person,,,Cuzco,"",Unknown,,,,,,,"",
1001411,Cypriote,,,Person,,,Cypriote,"",Unknown,,,,,,,"",
1002982,Indian School,,,Person,,,Indian School,"",Unknown,,,,,,,"",
3475,Emily Pitchford,,,Person,,,"Pitchford, Emily","",Female,1878-01-01,,1954-01-01,,,,,
1003606,"unknown Latin American, Canary Islands",,,Person,,,"unknown Latin American, Canary Islands","",Unknown,,,,,,,"",
3358,David Ellsworth,,,Person,,,"Ellsworth, David","",Male,1944-01-01,,,,,,,
3480,Ethel Grant Scott,,,Person,,,"Scott, Ethel Grant","",Female,,,,,,,"",
2098,Tejo Remy,,,Person,,,"Remy, Tejo","",Male,1960-01-01,,,,,,,
112,Lee Amino,,,Person,,,"Amino, Lee","",Male,1911-01-01,,1989-01-01,,,,,
3456,Frederick Evans,,,Person,,,"Evans, Frederick","",Male,1852-01-01,,1943-01-01,,,,,
1000062,"unknown African, Zaire, M'Boom",,,Person,,,"unknown African, Zaire, M'Boom","",Unknown,,,,,,,"",
3479,Harry C. Rubincam,,,Person,,,"Rubincam, Harry C.","",Male,1871-01-01,,1940-01-01,,,,,
199,Jill Snyder,,,Person,,,"Snyder, Jill","",Female,,,,,,,"",
182,Galia Amsel,,,Person,,,"Amsel, Galia","",Female,1967-01-01,,,,,,,
1000039,"unknown African, Dahomey",,,Person,,,"unknown African, Dahomey","",Unknown,,,,,,,"",
3831,James Gillray,,,Person,,,"Gillray, James","",Male,1756-01-01,,1815-01-01,,,,,
3495,Eva Watson-Schutze,,,Person,,,"Watson-Schutze, Eva","",Female,1867-01-01,,1935-01-01,,,,,
8618,Berthe Morisot,,,Person,,,"Morisot, Berthe","",Female,1841-01-01,"Bourges, France",1895-01-01,"Paris, France",,,,
1008505,unknown Vietnamese,,,Person,,,unknown Vietnamese,"",Unknown,,,,,,,http://vocab.getty.edu/ulan/500204514,
1008856,Charles Wright,,,Person,,,"Wright, Charles","",Male,1757-01-01,,1776-01-01,,,,"",
1008373,"unknown Turkish, Brusa",,,Person,,,"unknown Turkish, Brusa","",Unknown,,,,,,,"",
1008374,"unknown Turkish, Isnik",,,Person,,,"unknown Turkish, Isnik","",Unknown,,,,,,,"",
1008276,unknown Tibetan,,,Person,,,unknown Tibetan,"",Unknown,,,,,,,http://vocab.getty.edu/ulan/500204388,
1008152,unknown Syrian,,,Person,,,unknown Syrian,"",Unknown,,,,,,,http://vocab.getty.edu/ulan/500204326,
1008146,unknown Swiss,,,Person,,,unknown Swiss,anonymous Swiss|Swiss,Unknown,,,,,,,http://vocab.getty.edu/ulan/500125269,
1007494,"unknown Russian, Daghestan",,,Person,,,"unknown Russian, Daghestan","unknown Russian, Dagestan",Unknown,,,,,,,"",
3454,Nell Dorr,,,Person,,,"Dorr, Nell","",Female,1895-01-01,"Cleveland, Ohio, USA",1988-01-01,,,,,
1006983,unknown Persian,,,Person,,,unknown Persian,anonymous Persian|Persian,Unknown,,,,,,,http://vocab.getty.edu/ulan/500125251,
1006972,"unknown Persian, Carrus Dishier",,,Person,,,"unknown Persian, Carrus Dishier","",Unknown,,,,,,,,
1006970,"unknown Persian, Amlash",,,Person,,,"unknown Persian, Amlash","",Unknown,,,,,,,"",
1006971,"unknown Persian, Amul",,,Person,,,"unknown Persian, Amul","",Unknown,,,,,,,"",
1006977,"unknown Persian, Kashan or Rhages",,,Person,,,"unknown Persian, Kashan or Rhages","",Unknown,,,,,,,"",
1006980,"unknown Persian, Luristan",,,Person,,,"unknown Persian, Luristan","",Unknown,,,,,,,"",
1006981,"unknown Persian, Luristan, Sialk",,,Person,,,"unknown Persian, Luristan, Sialk","",Unknown,,,,,,,"",
1006982,"unknown Persian, Nishapur",,,Person,,,"unknown Persian, Nishapur","",Unknown,,,,,,,"",
1006987,"unknown Persian, Rhages",,,Person,,,"unknown Persian, Rhages","",Unknown,,,,,,,"",
1006989,"unknown Persian, Seljuk",,,Person,,,"unknown Persian, Seljuk","",Unknown,,,,,,,"",
1006990,"unknown Persian, Sultanabad",,,Person,,,"unknown Persian, Sultanabad","",Unknown,,,,,,,"",
1006991,"unknown Persian, Susa",,,Person,,,"unknown Persian, Susa","",Unknown,,,,,,,"",
8702,unknown Netherlandish,,,Person,,,unknown Netherlandish,anonymous Netherlandish|Netherlandish,Unknown,,,,,,,http://vocab.getty.edu/ulan/500125260,
1006728,unknown Northern European,,,Person,,,unknown Northern European,"",Unknown,,,,,,,http://vocab.getty.edu/ulan/500203960,
1004457,unknown Nepalese,,,Person,,,unknown Nepalese,"",Unknown,,,,,,,http://vocab.getty.edu/ulan/500203915,
1004444,unknown Near Eastern,,,Person,,,unknown Near Eastern,"",Unknown,,,,,,,http://vocab.getty.edu/ulan/500203912,
1004317,unknown Moroccan,,,Person,,,unknown Moroccan,"",Unknown,,,,,,,http://vocab.getty.edu/ulan/500203864,
1004268,Moderno,,,Person,,,Moderno,"Mondella, Galeazzo|Il Rosso da San Zeno|Mondelli, Galeazzo",Male,1467-01-01,"Verona (Verona province, Veneto, Italy)",1528-01-01,"Verona (Verona province, Veneto, Italy)",,,http://vocab.getty.edu/ulan/500164563,
1004183,unknown Mesopotamian,,,Person,,,unknown Mesopotamian,"",Unknown,,,,,,,http://vocab.getty.edu/ulan/500203813,
1004031,Master M. Z.,,,Person,,,Master M. Z.,Master of The Monogram M. Z. (Matthaus Zasinger)|Monogrammist MZ |Meister M Z|Master M Z,Unknown,1485-01-01,,,,,,http://vocab.getty.edu/ulan/500119578,
1004030,Master of the Legend of Saint Lucy,,,Person,,,Master of the Legend of Saint Lucy,Master of the Legend of St. Lucy|Master of the St. Lucy Legend|Master of the Saint Lucy Legend|Master of S. Lucia Legend|Master of Lucy,Unknown,1460-01-01,,1505-01-01,,,http://www.nga.gov/content/ngaweb/Collection/artist-info.1703.html?artobj_artistId=1703&pageNumber=1,http://vocab.getty.edu/ulan/500012152,
1004027,Master of Frankfurt,,,Person,,,Master of Frankfurt,"Master of Frankfort|possibly Wueluwe, Hendrik van",Unknown,1460-01-01,,1518-01-01,,,,http://vocab.getty.edu/ulan/500027699,
8710,James Charles Armytage,,,Person,,,"Armytage, James Charles","",Male,1802-01-01,,1897-01-01,,,,,
1002263,unknown Southern German,,,Person,,,unknown Southern German,"German, South",Unknown,,,,,,,"",
1002264,unknown Swabian,,,Person,,,unknown Swabian,"German, Swabian",Unknown,,,,,,,http://vocab.getty.edu/ulan/500125268,
1002983,unknown Southern Indian,,,Person,,,unknown Southern Indian,"Indian, South",Unknown,,,,,,,"",
4120,David Levinthal,,,Person,,,"Levinthal, David","",Male,1949-01-01,"San Francisco, CA",,,,,,
743,KeKe Cribbs,,,Person,,,"Cribbs, KeKe","",Female,1951-01-01,,,,,,,
1003025,unknown Southern Iranian,,,Person,,,unknown Southern Iranian,"Iranian, Southern",Unknown,,,,,,,"",
635,Ruth Root,,,Person,,,"Root, Ruth","",Female,1967-01-01,"Chicago, Illinois",,,,http://www.andrewkreps.com/artists_bio.html?aid=61,"",
3055,John Smith,,,Person,,,"Smith, John","",Male,1652-01-01,,1743-01-01,,,,,
1003114,unknown Javanese Hindu,,,Person,,,unknown Javanese Hindu,"Javanese, Hindu",Unknown,,,,,,,"",
1003463,unknown Korean,,,Person,,,unknown Korean,Korean,Unknown,,,,,,,http://vocab.getty.edu/ulan/500203575,
3499,Michael  Zide,,,Person,,,"Zide, Michael","",Male,,,,,,http://www.michaelzidephotography.com/,"",
3498,Dan Wynn,,,Person,,,"Wynn, Dan","",Male,1920-01-01,,1995-01-01,,,,,
3291,Andrea Zilio,,,Person,,,"Zilio, Andrea","",Unknown,1966-01-01,,,,,,,
1000418,Stuart Basseches,,,Person,,,"Basseches, Stuart","",Male,1960-01-01,,,,,,"",
1000040,unknown Dogon,,,Person,,,unknown Dogon,"unknown African, Dogon",Unknown,,,,,,,http://vocab.getty.edu/ulan/500203210,
1000057,unknown Sierra Leonean,,,Person,,,unknown Sierra Leonean,"unknown African, Sierra Leone",Unknown,,,,,,,http://vocab.getty.edu/ulan/500204251,
3441,Francis Bruguiere,,,Person,,,"Bruguiere, Francis","",Male,1879-01-01,,1945-01-01,,,,,
1000061,unknown Congolese Zairean,,,Person,,,unknown Congolese Zairean,"unknown African, Zaire, Kongo|unknown Zairean",Unknown,,,,,,,"",
1004037,Karl Mathsson,,,Person,,,"Mathsson, Karl","",Male,,Sweden,,,,http://www.deconet.com/decopedia/maker/259/Karl_Mathsson,"",
1007613,Mary Scheier,,,Person,,,"Scheier, Mary","",Female,1908-01-01,"Salem (Culpeper county, Virginia, United States)",2007-01-01,"Green Valley (Pima county, Arizona, United States)",,,http://vocab.getty.edu/ulan/500126184,
1001214,William Y. Cocken,,,Person,,,"Cocken, William Y.","",Male,1920-01-01,,1958-01-01,,,http://communities.aia.org/sites/hdoaa/wiki/Wiki%20Pages/ahd1008158.aspxsee,"",
1004502,Peter Nicholson,,,Person,,,"Nicholson, Peter","",Male,1765-01-01,"Lothian (Scotland, United Kingdom)",1844-01-01,"Carlisle (Cumbria, England, United Kingdom)",,,http://vocab.getty.edu/ulan/500097249,
1007612,Edwin Scheier,,,Person,,,"Scheier, Edwin","",Male,1910-01-01,,2008-01-01,,,,http://vocab.getty.edu/ulan/500126185,
590,Yasui (Kahei),,,Person,,,Yasui (Kahei),"",Unknown,,,,,,,"",
3433,Uemura Masuo,,,Person,,,Uemura Masuo,Masuo Uemura,Unknown,,,,,,,"",
134,Edward Zucca,,,Person,,,"Zucca, Edward","",Male,1946-01-01,,,,,,"",
1008857,Frank Lloyd Wright,,,Person,,,"Wright, Frank L.","",Male,1867-01-01,"Richland Center, Wisconsin",1959-01-01,"Phoenix, Arizona",,,http://vocab.getty.edu/ulan/500020307,
1003832,Birch Burdette Long,,,Person,,,"Long, Birch B.","",Male,1878-01-01,,1927-01-01,,,,,
3430,Michael Kenna,,,Person,,,"Kenna, Michael","",Male,1953-01-01,"Widnes, England",,,,http://www.michaelkenna.net/Joseph,"",
3435,C. Yarnall Abbott,,,Person,,,"Abbott, C. Yarnall","",Male,1870-01-01,,1938-01-01,,,,,
1004015,John Mason,,,Person,,,"Mason, John","",Male,1927-01-01,"Madrid (Perkins county, Nebraska, United States)",,,,,http://vocab.getty.edu/ulan/500100221,
1003042,Arata Isozaki,,,Person,,,"Isozaki, Arata","",Male,1931-01-01,"Oita City, Japan",,,,,http://vocab.getty.edu/ulan/500024090,
2947,James Carpenter,,,Person,,,"Carpenter, James","",Male,1949-01-01,,,,,,,
1003959,Bodil Manz,,,Person,,,"Manz, Bodil","",Male,1943-01-01,"Copenhagen, Denmark",,,,http://www.galeriebesson.co.uk/manz.html,http://vocab.getty.edu/ulan/500090105,
1004454,J. Franklin Nelson,,,Person,,,"Nelson, J. F.","",Male,,,,,,,"",
1003754,Schell Lewis,,,Person,,,"Lewis, Schell","",Male,,,1975-01-01,,,,"",
587,Yamada Issai,,,Person,,,Yamada Issai,Yamada Isai|Isai Yamada,Unknown,,,,,,,"",
1000705,Paul M. Bott,,,Person,,,"Bott, Paul M.","",Male,,,,,,,"",
3058,Samuel Arlent-Edwards,,,Person,,,"Arlent-Edwards, Samuel","",Male,1862-01-01,"Somerset, England",1938-01-01,"Westport, Connecticut",,,"",
1001203,Nehemiah Cleveland,,,Person,,,"Cleveland, Nehemiah","",Male,1796-01-01,,1877-01-01,,,,"",
1000805,Norris Brock,,,Person,,,"Brock, Norris","",Male,,,,,,,"",
1007416,Stanley Roseman,,,Person,,,"Roseman, Stanley","",Male,1946-01-01,,,,,http://stanleyrosemandance.com/biography.html,"",
715,Kyoto Society (Kyoto Sosaku-hangaki),,,Person,,,Kyoto Society (Kyoto Sosaku-hangaki),"",Female,,,,,,,"",
1008308,Richard Tompson,,,Person,,,"Tompson, Richard","",Male,,,1693-01-01,,,,http://vocab.getty.edu/ulan/500043437,
1002200,George H. Gall,,,Person,,,"Gall, George H.","",Male,,,,,,,"",
749,Jun Kaneko,,,Person,,,"Kaneko, Jun","",Female,1942-01-01,Japan,,,,http://www.junkaneko.com/,"",
193,Carl van Hees,,,Person,,,"Hees, Carl van","",Male,1964-01-01,,,,,,,
2634,Raoul De Keyser,,,Person,,,"De Keyser, Raoul","",Male,1930-01-01,,,,,,http://vocab.getty.edu/ulan/500085469,
1001574,George Derby,,,Person,,,"Derby, George","",Male,1823-01-01,"Little Falls, New York",,,,http://www.lib.rochester.edu/index.cfm?page=2444,"",
3476,William B. Post,,,Person,,,"Post, William B.","",Male,1857-01-01,,1921-01-01,,,,,
1004206,Ludwig Mies van der Rohe,,,Person,,,"Mies van der Rohe, Ludwig","",Male,1886-01-01,"Aachen (Köln district, North Rhine-Westphalia, Germany)",1969-01-01,"Chicago, Illinois",,,http://vocab.getty.edu/ulan/500006293,
1004278,Piet Mondrian,,,Person,,,"Mondrian, Piet","",Male,1872-01-01,"Amersfoort (Utrecht province, Netherlands)",1944-01-01,"Ney York, New York",,,http://vocab.getty.edu/ulan/500004972,
1001704,Félix Louis Jacques Duban,,,Person,,,"Duban, Jacques F.","",Male,1797-01-01,,1870-01-01,,,,http://vocab.getty.edu/ulan/500015141,
1001118,François Chauvel de Cantepie,,,Person,,,"Chauvel de Cantepie, François","",Male,1655-01-01,,1680-01-01,,,,http://vocab.getty.edu/ulan/500083775,
1003391,Karl Klaus,,,Person,,,"Klaus, Karl","",Male,1899-01-01,,,,,,,
1007292,Henry Hobson Richardson,,,Person,,,"Richardson, Henry H.","",Male,1836-01-01,"Priestley Plantation, LA",1886-01-01,"Brookline, MA",,,http://vocab.getty.edu/ulan/500016339,
1004776,Charles A. Walker,,,Person,,,"Walker, Charles A.","",Male,1848-01-01,"Loudon, NH",1925-01-01,"Brookline, MA",,http://www.askart.com/AskART/artists/biography.aspx?artist=20560,"",
3467,Douglas Keats,,,Person,,,"Keats, Douglas","",Male,1948-01-01,Massachusetts,,,,http://www.artnet.com/artists/douglas-keats/,"",
2628,Keith Carter,,,Person,,,"Carter, Keith","",Male,1948-01-01,,,,,http://www.keithcarterphotographs.com/,"",
3473,Frederic Ohringer,,,Person,,,"Ohringer, Frederic","",Male,1940-01-01,,,,,http://www.ohringerart.com/,"",
2428,Clarence H. White,,,Person,,,"White, Clarence H.","",Male,1871-01-01,"West Carlisle, Ohio",1925-01-01,,,http://www.ppa-photoclub.org/history.html|http://www.newarkteaparty.com/h/white/whitefamilyhistory.html,"",
3463,William Heick,,,Person,,,"Heick, William","",Male,1916-01-01,"San Francisco, California, USA",,,,http://www.williamheick.com/biography,"",
3474,Dr. Charles Peabody,,,Person,,,"Peabody, Dr. Charles","",Male,,,,,,,"",
2011,Hap Sakwa,,,Person,,,"Sakwa, Hap","",Male,1950-01-01,,,,,,"",
759,Dan Johnson,,,Person,,,"Johnson, Dan","",Male,1918-01-01,,,,,,"",
900,William Carlson,,,Person,,,"Carlson, William","",Male,1950-01-01,,,,,,"",
956,John Waters,,,Person,,,"Waters, John","",Male,1946-01-01,,,,,,"",
3493,William Orison Underwood,,,Person,,,"Underwood, William Orison","",Male,1873-01-01,,1974-01-01,,,,"",
1965,Steven Holl,,,Person,,,"Holl, Steven","",Male,1947-01-01,"Bremerton, Washington, USA",,,,,http://vocab.getty.edu/ulan/500004830,
915,Paul Rudolph,,,Person,,,"Rudolph, Paul","",Male,1918-01-01,Kentucky,1997-01-01,"New York City, New York",,,http://vocab.getty.edu/ulan/500011899,
2676,Henry Roderick Newman,,,Person,,,"Newman, Henry Roderick","",Male,1838-01-01,"Easton (Washington county, New York state, United states)",1912-01-01,"Florence, Italy",,,http://vocab.getty.edu/ulan/500031949,
3448,Lois Conner,,,Person,,,"Conner, Lois","",Female,1951-01-01,,,,,,http://vocab.getty.edu/ulan/500037134,
2294,Burhan Cahit Dogançay,,,Person,,,"Dogançay, Burhan C.","Dogonçay, Burhan",Male,1929-01-01,"Istanbul, Turkey",,,,,http://vocab.getty.edu/ulan/500061581,
2652,Jonas Mekas,,,Person,,,Mekas. Jonas,"",Male,1922-01-01,Lithuania (Europe),,,,,http://vocab.getty.edu/ulan/500094053,
3609,Michael Ashkin,,,Person,,,"Ashkin, Michael","",Male,1955-01-01,"Morristown, New Jersey",,,,,http://vocab.getty.edu/ulan/500114697,
